,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
1,0022300034,1610612743,Denver,Nuggets,DEN,nuggets,240:00,106.5,111.1,110.3,113.9,-3.8,-2.8,0.787,2.85,24.5,0.245,0.824,0.529,12.587,13.1,0.542,0.543,1.0,0.196,103.76,100.0,83.33,99.0,0.479
0,0022300035,1610612762,Utah,Jazz,UTA,jazz,240:00,132.5,132.0,129.1,133.7,3.3,-1.7,0.628,3.38,20.2,0.279,0.721,0.5,8.278,8.2,0.6,0.649,1.0,0.203,99.04,97.5,81.25,97.0,0.475
1,0022300035,1610612756,Phoenix,Suns,PHX,suns,240:00,129.1,133.7,132.5,132.0,-3.3,1.7,0.778,3.89,24.7,0.279,0.721,0.5,8.872,9.2,0.628,0.672,1.0,0.199,99.04,97.5,81.25,98.0,0.525
0,0022300036,1610612757,Portland,Trail Blazers,POR,blazers,240:00,98.0,99.0,109.5,110.3,-11.5,-11.4,0.472,0.89,12.8,0.357,0.674,0.495,19.604,19.8,0.461,0.49,1.0,0.197,97.3,96.5,80.42,96.0,0.396
1,0022300036,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,109.5,110.3,98.0,99.0,11.5,11.4,0.675,1.5,19.9,0.326,0.643,0.505,18.428,18.6,0.568,0.59,1.0,0.197,97.3,96.5,80.42,97.0,0.604
0,0022300037,1610612746,LA,Clippers,LAC,clippers,240:00,103.7,106.0,98.2,100.0,5.5,6.0,0.611,1.57,16.6,0.24,0.745,0.505,13.699,14.0,0.512,0.551,1.0,0.196,102.0,100.0,83.33,100.0,0.568
1,0022300037,1610612745,Houston,Rockets,HOU,rockets,240:00,98.2,100.0,103.7,106.0,-5.5,-6.0,0.632,1.41,17.4,0.255,0.76,0.495,16.699,17.0,0.489,0.517,1.0,0.195,102.0,100.0,83.33,100.0,0.432
0,0022300038,1610612753,Orlando,Magic,ORL,magic,240:00,118.0,124.8,103.2,104.9,14.8,19.9,0.62,2.38,20.3,0.364,0.737,0.516,12.172,12.9,0.56,0.579,1.0,0.195,105.24,101.5,84.58,101.0,0.554
1,0022300038,1610612761,Toronto,Raptors,TOR,raptors,240:00,103.2,104.9,118.0,124.8,-14.8,-19.9,0.763,1.21,21.1,0.263,0.636,0.484,23.148,23.5,0.6,0.632,1.0,0.201,105.24,101.5,84.58,102.0,0.446
0,0022300039,1610612737,Atlanta,Hawks,ATL,hawks,240:00,137.8,140.7,138.5,144.0,-0.8,-3.3,0.491,1.87,18.6,0.35,0.7,0.525,13.597,13.9,0.679,0.708,1.0,0.198,111.82,108.5,90.42,108.0,0.491
1,0022300039,1610612754,Indiana,Pacers,IND,pacers,240:00,138.5,144.0,137.8,140.7,0.8,3.3,0.614,2.5,22.5,0.3,0.65,0.475,12.354,12.8,0.723,0.738,1.0,0.196,111.82,108.5,90.42,109.0,0.509
0,0022300040,1610612755,Philadelphia,76ers,PHI,sixers,265:00,107.2,110.2,114.0,111.9,-6.8,-1.7,0.475,1.36,13.2,0.283,0.68,0.464,12.617,13.0,0.474,0.536,1.0,0.197,98.7,98.26,81.89,108.0,0.417
1,0022300040,1610612739,Cleveland,Cavaliers,CLE,cavaliers,265:00,114.0,111.9,107.2,110.2,6.8,1.7,0.717,2.06,21.4,0.32,0.717,0.536,14.953,14.7,0.537,0.581,1.0,0.2,98.7,98.26,81.89,109.0,0.583
0,0022300041,1610612756,Phoenix,Suns,PHX,suns,240:00,130.0,131.9,110.5,116.3,19.4,15.6,0.605,1.73,20.1,0.424,0.62,0.542,16.248,16.5,0.612,0.679,1.0,0.197,94.56,91.5,76.25,91.0,0.621
1,0022300041,1610612757,Portland,Trail Blazers,POR,blazers,240:00,110.5,116.3,130.0,131.9,-19.4,-15.6,0.526,1.54,15.5,0.38,0.576,0.458,13.43,14.1,0.517,0.558,1.0,0.199,94.56,91.5,76.25,92.0,0.379
0,0022300042,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,126.1,126.0,93.4,95.2,32.7,30.8,0.714,2.33,23.7,0.256,0.742,0.554,14.44,14.4,0.634,0.669,1.0,0.195,104.96,104.0,86.67,104.0,0.691
